time, timestamp, robot_q__0, robot_q__1, robot_q__2, robot_q__3, robot_q__4, robot_q__5, robot_q__6, robot_dq__0, robot_dq__1, robot_dq__2, robot_dq__3, robot_dq__4, robot_dq__5, robot_dq__6, robot_torque__0, robot_torque__1, robot_torque__2, robot_torque__3, robot_torque__4, robot_torque__5, robot_torque__6, joint_pos_state__0, joint_pos_state__1, joint_pos_state__2, joint_pos_state__3, joint_pos_state__4, joint_pos_state__5, joint_pos_state__6, apf_torques__0, apf_torques__1, apf_torques__2, apf_torques__3, apf_torques__4, apf_torques__5, apf_torques__6, 
0.0100001, 2025-06-04__16-48-23.822272, 0, -0.436332, 0, -2.35619, 0, 1.8326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0200001, 2025-06-04__16-48-23.832330, -0.0998452, -0.239441, 0.137031, -2.01103, -0.0288101, 1.84526, 0.712072, 0.00180189, -0.00550882, -0.00028948, 0.000715641, 0.00561068, -0.000252642, 0.000798223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0300001, 2025-06-04__16-48-23.842331, -0.0998389, -0.239918, 0.137017, -2.01106, -0.0284496, 1.84488, 0.712045, -0.000819117, -0.072124, -0.000814193, -0.00740629, 0.0535699, -0.0579063, 0.00173957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0400001, 2025-06-04__16-48-23.852330, -0.0998582, -0.240997, 0.136976, -2.01128, -0.0276364, 1.84377, 0.711954, -0.00568914, -0.111516, -0.00340558, -0.025431, 0.093502, -0.12311, -0.0145339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0500001, 2025-06-04__16-48-23.862329, -0.0998981, -0.241852, 0.136893, -2.01154, -0.0266775, 1.84224, 0.711865, -0.00329119, -0.0757349, -0.0124321, -0.0224252, 0.0978869, -0.150736, -0.00166226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0600001, 2025-06-04__16-48-23.872328, -0.0999071, -0.242787, 0.136803, -2.01186, -0.0256267, 1.84055, 0.711817, 0.00477261, -0.119055, -0.00566382, -0.0358697, 0.101143, -0.176864, -0.00870732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0700001, 2025-06-04__16-48-23.882329, -0.0998845, -0.244569, 0.13672, -2.01244, -0.0245655, 1.83852, 0.711808, 0.00270111, -0.193863, -0.0111647, -0.0636411, 0.102659, -0.201925, -0.000209217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0800001, 2025-06-04__16-48-23.892329, -0.0998536, -0.246678, 0.136599, -2.01322, -0.0234645, 1.83641, 0.711799, 0.00198694, -0.208169, -0.0149445, -0.0729367, 0.114143, -0.211582, 0.000431132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0900001, 2025-06-04__16-48-23.902344, -0.0998777, -0.248847, 0.136444, -2.01401, -0.0223167, 1.83443, 0.71178, -0.00232622, -0.229215, -0.01816, -0.0844179, 0.108532, -0.201872, -0.00903513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 2025-06-04__16-48-23.912330, -0.0999011, -0.251342, 0.136271, -2.01497, -0.0212727, 1.83242, 0.711783, 0.00163131, -0.257375, -0.0149106, -0.104486, 0.0967263, -0.193501, 0.00347652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
