time, timestamp, robot_q__0, robot_q__1, robot_q__2, robot_q__3, robot_q__4, robot_q__5, robot_q__6, robot_dq__0, robot_dq__1, robot_dq__2, robot_dq__3, robot_dq__4, robot_dq__5, robot_dq__6, ee_pos__0, ee_pos__1, ee_pos__2, goal_pos__0, goal_pos__1, goal_pos__2, svalues__0, svalues__1, svalues__2, svalues__3, svalues__4, svalues__5, singular_task_torques__0, singular_task_torques__1, singular_task_torques__2, singular_task_torques__3, singular_task_torques__4, singular_task_torques__5, singular_task_torques__6, motion_task_torques__0, motion_task_torques__1, motion_task_torques__2, motion_task_torques__3, motion_task_torques__4, motion_task_torques__5, motion_task_torques__6, ori_error__0, ori_error__1, ori_error__2, singular_direction__0, singular_direction__1, singular_direction__2, singular_direction__3, singular_direction__4, singular_direction__5, alpha, 
0.0100002, 2025-03-26__18-48-44.099216, 0, -0.436332, 0, -2.35619, 0, 1.8326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.13, 2025-03-26__18-48-44.219318, -0.00216839, -0.430902, 0.00178843, -2.35293, 0.000379143, 1.8582, 0.0129778, -0.0315243, 0.0790401, 0.026072, 0.0474866, 0.005323, 0.372621, 0.190014, 0.40621, -0.000115974, 0.382741, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.14, 2025-03-26__18-48-44.229304, -0.00249553, -0.430081, 0.00205921, -2.35243, 0.000434026, 1.86207, 0.0149557, -0.0339328, 0.0851686, 0.028111, 0.0511526, 0.00565642, 0.401485, 0.205789, 0.407225, -0.000134013, 0.382924, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.15, 2025-03-26__18-48-44.239300, -0.0028477, -0.429197, 0.00235121, -2.3519, 0.000492334, 1.86624, 0.0170982, -0.0365353, 0.0917993, 0.0303186, 0.0551181, 0.00600844, 0.432711, 0.222956, 0.408317, -0.000153518, 0.383125, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.16, 2025-03-26__18-48-44.249305, -0.00323086, -0.428233, 0.00266945, -2.35132, 0.000554901, 1.87078, 0.0194438, -0.0393711, 0.0990287, 0.0327265, 0.0594404, 0.00638387, 0.466751, 0.241726, 0.409505, -0.000174847, 0.383346, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.17, 2025-03-26__18-48-44.259300, -0.00363948, -0.427205, 0.00300937, -2.35071, 0.000620679, 1.87563, 0.0219597, -0.0423881, 0.106721, 0.0352893, 0.0640371, 0.00677517, 0.502961, 0.261709, 0.410772, -0.000197727, 0.383587, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.18, 2025-03-26__18-48-44.269286, -0.00407702, -0.426103, 0.00337391, -2.35005, 0.000690072, 1.88082, 0.0246681, -0.0440763, 0.111059, 0.0367482, 0.0666063, 0.00692209, 0.523341, 0.273418, 0.412128, -0.000222401, 0.383848, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.19, 2025-03-26__18-48-44.279290, -0.00451134, -0.425008, 0.00373634, -2.34939, 0.000757515, 1.88598, 0.0273697, -0.0429682, 0.108379, 0.0358901, 0.0649607, 0.00660071, 0.510631, 0.268164, 0.413473, -0.000247121, 0.384112, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.2, 2025-03-26__18-48-44.289287, -0.00493975, -0.423927, 0.00409456, -2.34874, 0.000822705, 1.89108, 0.0300543, -0.0428654, 0.10828, 0.0358819, 0.0648913, 0.00646446, 0.510119, 0.269767, 0.414799, -0.000271644, 0.384377, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.21, 2025-03-26__18-48-44.299304, -0.00537144, -0.422835, 0.00445631, -2.34809, 0.000887296, 1.89622, 0.0327833, -0.0435945, 0.1103, 0.0365717, 0.0661098, 0.00647513, 0.519613, 0.276827, 0.416136, -0.000296418, 0.384649, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
0.22, 2025-03-26__18-48-44.309296, -0.0058139, -0.421715, 0.00482787, -2.34742, 0.000952592, 1.9015, 0.035605, -0.0449978, 0.114022, 0.0378224, 0.0683576, 0.0066004, 0.537137, 0.288115, 0.417506, -0.000321852, 0.384933, 0.39947, -5.59271e-12, 0.381585, , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0
